r21-n01 1.0633 
r21-n02 1.0633 
r21-n03 1.0633 
r21-n04 1.0633 
r21-n05 0.8660 
r21-n06 0.8660 
r21-n07 0.8660 
r21-n08 0.8660 
r21-n09 0.8660 
r21-n10 0.8660 
r21-n11 0.8660 
r21-n12 0.8660 
r21-n13 0.8660 
r21-n14 0.8660 
r21-n15 0.8660 
r21-n16 0.8660 
r21-n17 0.8660 
r21-n18 0.8660 
r21-n19 0.8660 
r21-n20 0.8660 
r22-n01 1.0633 
r22-n02 1.0633 
r22-n03 1.0633 
r22-n04 1.0633 
r22-n05 1.0633 
r22-n06 1.0633 
r22-n07 1.0633 
r22-n08 1.0633 
r22-n09 1.0633 
r22-n10 1.0633 
r22-n11 1.0633 
r22-n12 1.0633 
r22-n13 1.0633 
r22-n14 1.0633 
r22-n15 1.0633 
r22-n16 1.0633 
r22-n17 1.0633 
r22-n18 1.0633 
r22-n19 1.0633 
r22-n20 1.0633 
r23-n01 1.0633 
r23-n02 1.0633 
r23-n03 1.0633 
r23-n04 1.0633 
r23-n05 1.0633 
r23-n06 1.0633 
r23-n07 1.0633 
r23-n08 1.0633 
r23-n09 1.0633 
r23-n10 1.0633
r23-n11 1.2050
r23-n12 1.2050
r23-n13 1.2050
r23-n14 1.2050
r23-n15 1.2050
r23-n16 1.2050
r23-n17 1.2050
r23-n18 1.2050
r23-n19 1.2050
r23-n20 1.2050
r24-n01 1.2050
r24-n02 1.2050
r24-n03 1.2050
r24-n04 1.2050
r24-n05 1.2050
r24-n06 1.2050
r24-n07 1.2050
r24-n08 1.2050
r24-n09 1.2050
r24-n10 1.2050
r24-n11 1.2050
r24-n12 1.2050
r24-n13 1.2050
r24-n14 1.2050
r24-n15 1.2050
r24-n16 1.2050
r24-n17 1.2050
r24-n18 1.2050
r24-n19 1.2050
r24-n20 1.2050
r25-n01 1.1280
r25-n02 1.1280
r25-n03 1.1280
r25-n04 1.1280
r25-n05 1.1280
r25-n06 1.1280
r25-n07 1.1280
r25-n08 1.1280
r25-n09 1.1280
r25-n10 1.1280
r25-n11 1.1280 
r25-n12 1.1280 
r25-n13 1.1280 
r25-n14 1.1280 
r25-n15 1.1280 
r25-n16 1.1280 
r25-n17 1.1280 
r25-n18 1.1280 
r25-n19 1.1280 
r25-n20 1.1280 
r26-n01 1.1280 
r26-n02 1.1280 
r26-n03 1.1280 
r26-n04 1.1280 
r26-n05 1.1070 
r26-n06 1.1070 
r26-n07 1.1070 
r26-n08 1.1070 
r26-n09 1.1070 
r26-n10 0.8900 
r26-n11 0.8900 
r26-n12 0.8900 
r26-n13 0.8900 
r26-n14 0.8900 
r26-n15 0.8900 
r26-n16 0.8900 
